activity_id,molregno,molecule_chembl_id,assay_id,assay_chembl_id,tid,target_chembl_id,target_name,target_type,standard_type,standard_value,standard_units,pchembl_value,assay_type,confidence_score,canonical_smiles,standard_inchi_key,pActivity,MolecularWeight,NumAtoms,NumHeavyAtoms,NumHeteroatoms,NumHDonors,NumHAcceptors,LogP,TPSA,NumAromaticRings,NumAliphaticRings,NumRings,AromaticProportion,NumRotatableBonds,NumSaturatedRings,FractionCSP3,MolMR,Lipinski_Violation
18083183,2207463,CHEMBL4067552,1668117,CHEMBL4018005,105055,CHEMBL2111367,PI3-kinase p110-alpha/p85-alpha,PROTEIN COMPLEX,IC50,1.2,nM,8.92,B,7,Nc1ncc(-c2cn3c4c(nc3c(N3CCOCC3)n2)CN(C(=O)NCc2ccc(F)cc2)CC4)cn1,GFKFAJOPXOJYTI-UHFFFAOYSA-N,8.920818753952375,503.5420000000002,37,37,12,2,9,2.012099999999999,126.8,4,2,6,0.5675675675675675,4,1,0.32,134.20709999999994,1
27311132,3015012,CHEMBL5798011,2589978,CHEMBL5732677,11939,CHEMBL3267,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit gamma isoform",SINGLE PROTEIN,IC50,2000.0,nM,5.7,B,9,C[C@H](NC(=O)c1c(N)nn2cccnc12)c1cc2cccc(C#CC(C)(C)N)c2c(=O)n1-c1ccccc1,OEMZEJDPCSZFKB-SFHVURJKSA-N,5.698970004336019,505.58200000000033,38,38,9,3,8,3.195400000000001,133.33,5,0,5,0.6578947368421053,4,0,0.1724137931034483,147.9699999999998,1
2419703,498693,CHEMBL509542,563168,CHEMBL964272,12425,CHEMBL4481,"Nitric oxide synthase, inducible",SINGLE PROTEIN,IC50,170.0,nM,6.77,B,9,Cc1cc(N)nc(CCCCF)c1,OTKWRERYYAYGSY-UHFFFAOYSA-N,6.769551078621726,182.242,13,13,3,1,2,2.2644200000000003,38.91,1,0,1,0.46153846153846156,4,0,0.5,52.29940000000002,0
27720872,2963203,CHEMBL5746202,2591574,CHEMBL5734273,222,CHEMBL1904,"Glutamate receptor ionotropic, NMDA 2B",SINGLE PROTEIN,IC50,12.6,nM,7.9,B,9,CCC(=O)Cn1cc(F)c2ncc(-c3cc(C)cs3)cc21,AUDZYNIXCICHFM-UHFFFAOYSA-N,7.8996294548824375,302.374,21,21,5,0,4,4.1914200000000035,34.89,3,0,3,0.6666666666666666,4,0,0.25,83.03900000000003,0
26758456,3115934,CHEMBL5898933,2588115,CHEMBL5730814,19639,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,SINGLE PROTEIN,IC50,19.0,nM,7.72,B,9,CC(C)(O)[C@H](F)CNC(=O)c1cnc(Nc2ccc3nc(N)ccc3c2)cc1NC1CC1,QKXGXSYJQAWUPW-LJQANCHMSA-N,7.721246399047171,438.50700000000023,32,32,9,5,7,3.3687000000000014,125.19,3,1,4,0.5,8,1,0.34782608695652173,123.84680000000002,0
28664627,3126513,CHEMBL5909512,2595266,CHEMBL5737965,103982,CHEMBL1741186,Nuclear receptor ROR-gamma,SINGLE PROTEIN,IC50,57.0,nM,7.24,B,9,C[C@H]1C(=O)C(C#N)=C[C@@]2(C)c3nc(-c4ncnc5ccccc45)nc(-c4ccccc4F)c3CC[C@H]12,PWBRYQBQGXPMRW-IZVNATSUSA-N,7.2441251443275085,475.5270000000002,36,36,7,0,6,5.3817800000000044,92.42,4,2,6,0.6111111111111112,2,0,0.2413793103448276,132.98799999999997,1
24416557,2731706,CHEMBL5087255,2162574,CHEMBL5047435,108404,CHEMBL3301390,JAK1/JAK2/TYK2,PROTEIN COMPLEX,IC50,39.81,nM,7.4,B,7,CCc1cc(O)c(F)cc1-c1cc(N[C@@H]2CCCN(C)C2)c2nc(N)ncc2c1,BTNXVVHACPIWSH-MRXNPFEDSA-N,7.400007822415902,395.48200000000014,29,29,7,3,6,3.792200000000001,87.3,3,1,4,0.5517241379310345,4,1,0.36363636363636365,114.52890000000002,0
25573739,2853559,CHEMBL5413391,2341418,CHEMBL5352090,12697,CHEMBL325,Histone deacetylase 1,SINGLE PROTEIN,IC50,1.9,nM,8.72,B,9,COc1ccc2c3c(oc2c1)CN([C@@H](Cc1ccc(O)cc1)C(=O)Nc1ccc(C(=O)NO)cc1)CC3,JQYDVLYDSVIYPK-DEOSSOPVSA-N,8.721246399047171,501.5390000000002,37,37,9,4,7,3.874100000000001,124.27,4,1,5,0.5675675675675675,7,0,0.21428571428571427,136.80319999999998,1
12663134,1517514,CHEMBL2323356,938311,CHEMBL2328985,93,CHEMBL220,Acetylcholinesterase,SINGLE PROTEIN,IC50,53100.0,nM,4.28,B,9,CCOc1ccc(/C=N/NC(=O)CN2CCC(Cc3ccccc3)CC2)cc1,PZUITVNJLUHHRJ-JJIBRWJFSA-N,4.274905478918531,379.5040000000001,28,28,5,1,4,3.4901000000000026,53.93,2,1,3,0.42857142857142855,8,1,0.391304347826087,112.65770000000003,0
27781475,3273426,CHEMBL6056425,2591818,CHEMBL5734517,11638,CHEMBL4040,Mitogen-activated protein kinase 1,SINGLE PROTEIN,IC50,2.8,nM,8.55,B,9,COc1cc(F)cc([C@@H](CO)NC(=O)[C@@H](C)N2Cc3ccc(-c4nc(Nc5cc(C)on5)ncc4Cl)cc3C2=O)c1,GOTGHQVOWMZKSZ-IQMFZBJNSA-N,8.55284196865778,581.0040000000001,41,41,13,3,9,4.178820000000003,142.71,4,1,5,0.5609756097560976,9,0,0.25,147.25769999999983,1
18164901,2208388,CHEMBL4068477,1685918,CHEMBL4036397,11140,CHEMBL284,Dipeptidyl peptidase 4,SINGLE PROTEIN,IC50,2.1,nM,8.68,B,9,Cc1ccc(-c2c(-c3nc(C(N)=O)cs3)cnc(CC(C)C)c2CN)cc1.Cl.Cl,YHKZGIHOOBULQI-UHFFFAOYSA-N,8.67778070526608,453.43900000000025,29,29,8,2,5,4.780220000000005,94.89,3,0,3,0.5862068965517241,6,0,0.2857142857142857,124.9653,0
27004538,2977404,CHEMBL5760403,2588919,CHEMBL5731618,11399,CHEMBL1873,Tissue-type plasminogen activator,SINGLE PROTEIN,IC50,18.0,nM,7.75,B,9,COc1ccc(-c2cnn3c(C4CCNCC4)cc(=O)[nH]c23)cc1OC,RKNPNLUPLRZWLG-UHFFFAOYSA-N,7.7447274948966935,354.41,26,26,7,2,6,2.1738,80.65,3,1,4,0.5769230769230769,4,1,0.3684210526315789,99.19740000000003,0
29205583,3317450,CHEMBL6172406,2641152,CHEMBL6120189,12261,CHEMBL2276,Mitogen-activated protein kinase 8,SINGLE PROTEIN,IC50,49.0,nM,7.31,B,9,Cc1ccc(-n2cc(NC(=O)Nc3cccc4ccccc34)cn2)cc1C(=O)Nc1cnn(C2CCNCC2)c1.Cl,JAYICZBYMQONQQ-UHFFFAOYSA-N,7.309803919971486,571.0850000000003,41,41,11,4,7,5.773020000000004,117.9,5,1,6,0.6341463414634146,6,1,0.2,163.45929999999973,2
23151727,2564221,CHEMBL4870450,2102219,CHEMBL4810615,11356,CHEMBL2140,"Tryptophan 2,3-dioxygenase",SINGLE PROTEIN,IC50,24600.0,nM,4.61,B,9,CN(C)CCn1nnc2ccc(-c3c[nH]c4ccccc34)cc21,GIVLBDIBRHKFNH-UHFFFAOYSA-N,4.609064892896621,305.3850000000001,23,23,5,1,4,3.1412000000000013,49.74,4,0,4,0.782608695652174,4,0,0.2222222222222222,93.37470000000005,0
27173180,3206495,CHEMBL5989494,2589492,CHEMBL5732191,100079,CHEMBL2041,Proto-oncogene tyrosine-protein kinase receptor Ret,SINGLE PROTEIN,IC50,177.0,nM,6.75,B,9,CC(C)n1cc(-c2cc(-c3ccc(N4CCN(C(=O)OC(C)(C)C)CC4)nc3)c3c(C#N)cnn3c2)nn1,CLUDJSWENRHBHJ-UHFFFAOYSA-N,6.752026733638194,513.6060000000002,38,38,11,0,10,4.164480000000003,117.47,4,1,5,0.5263157894736842,4,1,0.4074074074074074,142.55899999999986,1
22826629,393085,CHEMBL234316,2062308,CHEMBL4717561,11727,CHEMBL2409,Bifunctional epoxide hydrolase 2,SINGLE PROTEIN,IC50,30100.0,nM,4.52,B,9,COc1cc(-c2oc3cc(O)cc(O)c3c(=O)c2O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)ccc1O,CQLRUIIRRZYHHS-LFXZADKFSA-N,4.521433504406157,478.4060000000001,34,34,12,7,12,-0.23589999999999983,199.51,3,1,4,0.47058823529411764,5,1,0.3181818181818182,113.86160000000001,2
16365503,2043370,CHEMBL3714886,1537037,CHEMBL3721052,116091,CHEMBL3714130,G-protein coupled receptor 6,SINGLE PROTEIN,IC50,14.0,nM,7.85,F,9,CSc1ccc(OC2CCN(c3nc4cnncc4nc3NC3CC3)CC2)c(F)c1.O=C(O)C(F)(F)F,BOCHUJULTYMMJP-UHFFFAOYSA-N,7.853871964321762,540.5430000000003,37,37,14,2,9,4.536200000000003,113.36,3,2,5,0.43243243243243246,6,2,0.43478260869565216,129.50750000000005,1
29092474,2779685,CHEMBL5208454,2607643,CHEMBL6083475,188,CHEMBL1824,Receptor tyrosine-protein kinase erbB-2,SINGLE PROTEIN,IC50,75.1,nM,7.12,B,9,O=C(CCCl)Nc1ccc2ncnc(Nc3ccc4[nH]cc(Br)c4c3)c2c1,WTWFBKFNVCFROY-UHFFFAOYSA-N,7.124360062995832,444.72000000000014,27,27,8,3,4,5.184600000000002,82.69999999999999,4,0,4,0.7037037037037037,5,0,0.10526315789473684,112.78610000000002,1
